"comments","target"
"This guy actually puts in a lot of effort in his tutorials as far as i can infer. I noticed that whenever he accidentally said something wrong for example he said age instead of name, he'll put the correct word in the background, meaning that he actually gone through the entire video again before publishing to check for errors.",s
"I've learnt HTML, CSS, Javascript and Python all from this dude. Trust me watch all of the videos and you will learn alot. Im a huge fan of giraffe academy!",s
Watched this video one year ago to start my coding journey... now I'm just finishing up my first internship as a software developer. Crazy to think about how far I've come and looking back at where I started..... Don't give up guys u can do it,s
"His teaching is the most effective I've found so far on YouTube or Udemy, specifically for the language tutorials.
No extra theory crap, not a tons load of ""useless rant""; straight to the point topics and very easily covering most of the important areas!
Thanks, Mike!",s
"I finally finished the whole 4 hours, and now i'm taking my first steps towards world domination",p
"It took me 3 days to finish this. It's very easy to understand.
thanks for making this wonderful video. you have my utmost gratitude.",p
You taught me more in 4 hours than my professor did in an entire semester,p
"Damn, after seeing the first 30 minutes of this video,  I really appreciate how freaking easy Python is lol",p
This man literally taught me more in 4 hours than my uni taught me an whole semester,p
"C++ is one of the most complex languages out there and that's good. C++ is WAYYYY faster than Python and is therefore preferred by companies where speed is key (like for example banks for financial transactions, security systems and other areas). when you want it to be as fast as possible, C++ is the best mediator between being user-friendly and being fast. it's the halfway point between assembly language and python",s
"I needed to learn something about C++ in a hurry.
My first thought was to seek you out (again).
As expected, you were clear and concise and made it all so easy.
You are a superstar.",p
Honestly one of the best and most thorough introductions to C++ ive ever watched. Thank you,p
"LoL I have an exam tomorrow and I'm trying to learn C++ in 4 hours.

Update : I passed my exam with 71% marks.",o
"Everyone is sitting here talking about school-related stuff, anyone else here never even taken a class in school and just thought it'd be fun to learn it as well?",q
"I literally watched a whole hour of this and now I am making half life 3, This tut was amazing 🔥🔥🔥🔥",p
"Just watched this to refresh my basic c++ knowledge and since I used a different IDE, VS19 to be specific, the variable at 2:21:40 (int guess;) needs to have a value for that compiler, just change that to int guess = -1; Or that is how I fixed it.",s
i literally have an exam in a couple of hours so time to put it to 1.5x speed and learn the whole semester in a couple of hours,s
"Mike does such a well job at teaching, he's helped me learn Web Dev, and Python now I'm trying to learn C++",p
"This dude literally thought everybody about programming in 4 hours without ads.

HE IS THE KING!!!!👑👑👑",p
"I learned more in the first 40 minutes than I have in 2 weeks in my high school C++ class, nice video",p
"This guy in just 4 hours, taught me what my teachers failed to teach me in 15 weeks. I don't know if its a psychological thing that makes it easier to learn from youtube videos or if i really got so unlucky with my teachers",o
"In the beginning, I wasn't very impressed, but later I realized it's actually a very good course. Congrats. Btw I wonder how much more is there to learn to become a C++ pro.",q
I watched this video in 2x for quick revision. You taught more of C++ than what I learned in 2 years of school in that subject. Thanks a lot for the video!,p
Went through the entire 4 hours. This Tutorial is amazingly helpful. Thanks man.,p
"""There are a lot of functions we can do with these strings and these are called...""


Drum roll


""String functions.""


If only chemists and biologists named things this way.",s
We have to appreciate him for teaching us The way we want and even without any Ads. Love from India Bro 🇮🇳♥️,s
Thank you very much Mike sir! Learned so much in such a short amount of time. Your teaching style is awesome.,p
"Hello mr mike dane thanks for everything, I can't Express my gratitude towards your efforts ,thank a lot but if I may ask what next after this ,I have finished and ready for more challenges",q
Just completed the entire video in around 8 hours. Was amazing ❤️❤️,p
You're a great teacher! Thank you for your clear and instructive lessons.,p
"Great tutorial! I just have one question regarding the Object Function:
At 3:40:13 why don't we have to pass an attribute so the function knows what value we have for gpa, but for the constructor we do have to pass the attributes?",q
"⭐️ Contents ⭐
⌨️ (0:00:00) Introduction
⌨️ (0:01:38) Windows Installation
⌨️ (0:04:54) Mac Installation
⌨️ (0:08:44) Setup & Hello World
⌨️ (0:12:29) Drawing a Shape
⌨️ (0:19:55) Variables
⌨️ (0:31:43) Data Types
⌨️ (0:39:15) Working With Strings
⌨️ (0:49:00) Working With Numbers
⌨️ (0:59:41) Getting User Input
⌨️ (1:05:32) Building a Calculator
⌨️ (1:09:28) Building a Mad Libs
⌨️ (1:13:45) Arrays
⌨️ (1:20:03) Functions
⌨️ (1:29:47) Return Statement
⌨️ (1:35:22) If Statements
⌨️ (1:47:15) If Statements (con't)
⌨️ (1:55:58) Building a Better Calculator
⌨️ (2:02:20) Switch Statements
⌨️ (2:10:47) While Loops
⌨️ (2:18:53) Building a Guessing Game
⌨️ (2:29:18) For Loops
⌨️ (2:38:32) Exponent Function
⌨️ (2:45:21) 2d Arrays & Nested Loops
⌨️ (2:54:55) Comments
⌨️ (2:59:11) Pointers
⌨️ (3:13:26) Classes & Objects
⌨️ (3:25:40) Constructor Functions
⌨️ (3:34:41) Object Functions
⌨️ (3:41:43) Getters & Setters
⌨️ (3:54:04) Inheritance",o
"I learned in 4 hours more than I learned in 2 whole years of High School, you're my hero",p
"Mike is honestly one of the best teachers on the internet, his voice, the way and order he teaches in, everything about his teaching is really really good

Too bad he doesn't make advanced or intermediate courses, but this way he can make more begginer tutorials for more languages, and i think this is a great way to start learning a language :D",s
"I really liked the 'pointer' section soo much. You simplied it soooooo much. Thanks for the clear, short and simplified explanation.",p
"2:10:47

First day going great so far, taking lots of notes and studying!",p
tnx bro for every thing  you have done on the tutorial you can not just imagine  how many people you are helping out there ..for people who can not pay for online class .just keep going the good work and it is great effort,s
"When you're paying thousands of dollars to learn C++ and still don't get it, but a 4 hour video with no advertisements does a better job.

Edit: Spelling",s
Thanks a lot for this amazing session 💜❤,p
"⭐️ Contents ⭐
⌨️ (0:00:00) Introduction
⌨️ (0:01:38) Windows Installation
⌨️ (0:04:54) Mac Installation
⌨️ (0:08:44) Setup & Hello World
⌨️ (0:12:29) Drawing a Shape
⌨️ (0:19:55) Variables
⌨️ (0:31:43) Data Types
⌨️ (0:39:15) Working With Strings
⌨️ (0:49:00) Working With Numbers
⌨️ (0:59:41) Getting User Input
⌨️ (1:05:32) Building a Calculator
⌨️ (1:09:28) Building a Mad Libs
⌨️ (1:13:45) Arrays
⌨️ (1:20:03) Functions
⌨️ (1:29:47) Return Statement
⌨️ (1:35:22) If Statements
⌨️ (1:47:15) If Statements (con't)
⌨️ (1:55:58) Building a Better Calculator
⌨️ (2:02:20) Switch Statements
⌨️ (2:10:47) While Loops
⌨️ (2:18:53) Building a Guessing Game
⌨️ (2:29:18) For Loops
⌨️ (2:38:32) Exponent Function
⌨️ (2:45:21) 2d Arrays & Nested Loops
⌨️ (2:54:55) Comments
⌨️ (2:59:11) Pointers
⌨️ (3:13:26) Classes & Objects
⌨️ (3:25:40) Constructor Functions
⌨️ (3:34:41) Object Functions
⌨️ (3:41:43) Getters & Setters
⌨️ (3:54:04) Inheritance",o
This content is very amazing and a great shortcut to the code. Thanks so much for your effort.,s
"This video did help me a lot! You are so good, that you can explain the things in an understandable manner, not like many people that, intentionally or not, make things to be complicated. Thank you!",p
"I love how he teaches multiple coding languages the same, it makes learning them a lot easier and quicker to understand",p
This is my second tutorial from You  and it was just as great! Thanks for sharing your knowledge Mike,p
i just want to say that we all appreciate your knowledge and how you give your knowledge to others... very well done on this tutorial and great effort,p
"This tutorial isn't only for C++ beginners, it's for total programming beginners also. Man you are great.",s
You teach better than most professors / tutors.. Thank you so much,p
"Great course - I would have suggested using enumeration for restricting the rating categories but other than that, a very well put together lesson",s
Such a good content in a simple and most effective manner.,p
"I compelted all of this in one day, probably took me 8 hours as I didnt just watch and did the code with you and tried to improve some of it myself, I learned a lot and this is the perfect place to get started, still some concepts I am still having trouble learning and understanding but at least now I know where to start and what to learn more about, the man that made this video is an absolute gem.",s
"Love the explanation about classes, the definition of a class, excellent !!",p
